date,company,advisor_name,username,post_text,likes,retweets,comments,label
2023-11-05,ICICI Bank,Tammy Lee,ithompson,Enjoy note goal care exist admit paper model pretty score window mind environment but in.,4887,1138,185,0
2025-06-11,HDFC Bank,Ryan Aguirre,sabrinale,Open eat feeling than seek amount hour property there success.,1559,369,387,1
2024-11-28,HDFC Bank,Thomas Serrano,rebeccamurphy,Head week small share list partner many medical hold suddenly next bag admit thank live.,2839,39,215,0
2024-04-30,HDFC Bank,Glen Thomas,xlong,Likely spend personal girl sea cost scientist program.,603,1085,448,0
2024-01-01,Bharti Airtel,Cheryl Gray,michelleerickson,Analysis ready body another suggest growth public reveal me matter audience.,1814,1844,819,0
2025-04-18,Infosys,Kathryn Klein,churchheather,Specific person dark include science executive staff music total expert the response listen a here.,4564,126,341,0
2024-01-22,ICICI Bank,Pamela Hamilton,hfigueroa,Relate soldier only rest others will anyone race those minute close.,3852,1896,417,0
2023-12-17,ICICI Bank,Tara Frazier,wellsjennifer,Deep commercial toward citizen customer represent general affect effect billion technology pick news spring just story.,3022,611,860,1
2025-06-10,Tata Motors,Leah King,hjohnson,Your senior nearly these create most any few key level many dog talk so huge else.,1761,1285,713,0
2024-01-09,ICICI Bank,Brittany Ramos,stephenleblanc,Onto movement establish but memory minute community none race meet benefit risk learn he town Mr.,1705,1933,396,0
2025-06-06,Reliance,Anne Lopez,crystalalvarado,Take day data never require set during black live director create almost glass member above.,859,850,739,0
2024-01-26,Adani Ports,Victoria Waters,williamjones,Cut marriage modern care teacher site may clearly north land determine small at choice work.,180,1456,430,0
2024-10-21,HDFC Bank,Jesus Lang,maxwell98,Less big amount inside identify interest cover consider represent common two.,370,153,334,0
2023-09-27,Tata Motors,Joel Mann,robertterry,Public drug new physical base fish still lawyer report like ten.,1742,1816,744,0
2024-09-10,Bharti Airtel,Jason Dixon,travis82,Goal attorney figure garden rule no way speech yes believe ten last stuff summer.,2666,1081,152,0
2023-11-07,Adani Ports,Regina Collins,ltaylor,Say real finish college leg school claim stop week reduce never specific radio.,496,1337,446,0
2024-02-17,ICICI Bank,Michael Gillespie,jason07,Various product official include call present always itself I news.,2278,1765,828,0
2024-12-27,Adani Ports,Joseph Freeman,sandovalnicholas,Professor value bad capital mother save quality always serious only.,847,623,271,1
2024-07-13,Adani Ports,Carlos Erickson,krystalboyd,Medical quality design over letter partner southern let ask grow learn fight team cultural peace education.,1626,816,75,0
2024-02-14,ICICI Bank,Daniel Simmons,gbrown,Join whether focus side big poor arm test wide discuss mention factor tell.,1919,1259,690,0
2025-05-27,Bharti Airtel,Edward James,jflores,With drop he range available speak keep admit wall early later cost color bit talk.,4671,794,696,0
2024-03-09,Reliance,Jennifer Watkins,kwall,Compare mother set note key claim building international.,1631,1130,241,0
2024-07-23,Infosys,Karen Wong,dorothy77,Main recently start remain continue sure home better worker customer mouth decide above join leg follow.,3712,1060,894,0
2025-07-24,Infosys,Trevor Johnson,keithduarte,Travel population or just region never onto political school case ok together evidence action radio.,2757,1122,314,0
2025-08-31,Tata Motors,Emily Wallace,tnewman,Spring walk add against church kind since.,4470,332,707,0
2025-07-03,Bharti Airtel,Molly Moreno DDS,annahoward,Significant form hit last meet court seven perform standard.,3652,869,706,0
2024-07-25,Infosys,Christopher Evans,russellryan,See organization amount commercial put science particularly impact.,1372,1831,938,0
2025-08-19,Tata Motors,Jacob Cummings,kyleblack,Worry recently once around network actually tree perform increase.,2412,148,981,0
2024-01-20,Reliance,Kathleen Friedman,joshuacharles,Science skin foot just ten message purpose food clearly generation decade learn their major country.,1190,464,872,0
2024-12-11,ICICI Bank,Krystal Robertson,pauldavid,Accept fall artist wife particularly rest north.,2969,791,580,0
2025-01-10,Reliance,Laurie Ray,ugomez,Thought green clear thing develop trial before data fund left position southern close senior while watch.,867,1124,370,0
2025-02-26,Reliance,Tracy Tate,clarkjennifer,Material yourself since environment popular lose scene cell.,740,1452,362,0
2024-10-17,Adani Ports,Mark Chavez,andersonlisa,Whatever computer side reduce agency interest one better.,1631,228,7,0
2023-12-05,Tata Motors,Phillip Molina,parrishsteven,Interesting kid nice pressure list and trial prove increase sea large authority ahead defense.,2210,1567,580,0
2025-05-26,Infosys,Jeff Malone,mclayton,We yet capital character design garden laugh.,571,930,98,1
2025-03-07,Tata Motors,David Boone,wbranch,Food cost building life leader agreement push will leg military month interview.,141,375,627,0
2024-01-20,Reliance,Paul Walters,bharris,Food dream reflect answer serious industry here friend report deal marriage mention evidence.,3433,1690,698,0
2024-03-04,Bharti Airtel,Melissa Williamson,emilyrivera,Tv movement apply if argue glass allow form word Mr any paper miss staff customer available.,1726,1284,502,0
2024-06-29,Reliance,Dylan Edwards,colemanarthur,Reality blue star during to likely charge shoulder small federal a beautiful marriage research real.,1876,193,648,0
2023-11-13,Wipro,Lisa Adams,robertatkins,Sure alone economy wall who two sometimes set open new page.,4775,1179,508,0
2024-02-20,Tata Motors,Nicholas Harris,harold47,Our staff along rate board record ability rule could bring writer type visit central future until.,4049,639,547,0
2025-01-31,Adani Ports,Tracy Reed,turnerkayla,Low international challenge program likely us born drug strong part ahead long job.,3433,320,379,1
2024-01-06,Adani Ports,Megan Mason,heidicastro,Sit budget night blue research industry member apply lose.,2653,979,905,0
2025-05-13,HDFC Bank,John Nguyen,xwells,At gun fight few later standard surface your career hundred of by.,3686,1954,625,0
2025-03-17,Wipro,Kristy Hunter,fruiz,Once expert much difficult others court include figure learn plant.,4711,1703,998,0
2024-12-04,Tata Motors,Brandon Garcia,donaldcox,Move only view first ahead soon form term sense popular buy analysis offer agency rate.,3503,67,217,0
2025-05-15,Wipro,Michael Conway,mooretamara,Each add record think adult could civil trial establish speech.,3602,1587,812,0
2024-11-17,ICICI Bank,Brian Decker,heather67,Hotel college stop myself along nor perform democratic.,1604,1909,779,0
2025-08-16,ICICI Bank,Justin Cohen,alexandria57,Day structure Mr fly small news tonight score word everyone six write range audience.,175,530,101,1
2025-01-13,Tata Motors,Sheila Brown,trich,Camera activity my sure onto view put happy strong every remain.,4672,1591,911,0
2024-02-04,Bharti Airtel,Tyrone Graham,jessicawaters,Wide two south understand modern market physical occur hundred kitchen culture within involve week doctor improve.,950,703,591,0
2024-03-24,Tata Motors,Melissa Willis,shannonmullen,Special list window bit agency condition million win want director two up project product significant.,3214,1286,784,0
2024-07-29,Tata Motors,Catherine Fernandez,randallwaters,Let with marriage former onto material eat capital it seek it happy.,3227,43,943,0
2025-02-01,Wipro,Jessica Jennings,charles30,Player accept finish take daughter room carry could fact.,2812,1212,651,0
2023-11-26,HDFC Bank,Eric Smith,eric49,Show what consumer PM school bank base where travel civil particularly indeed history sure.,224,1628,610,0
2025-06-27,Bharti Airtel,Karen Brown,sspence,Relate single interesting there card join us provide free among court he debate cold interview.,1192,1814,458,0
2025-01-19,Reliance,Connie Gonzales,twilliams,Improve weight low baby road act third coach much.,582,472,488,0
2025-03-27,Wipro,Alvin Olson,wgordon,Property life three new usually point right democratic top black majority story.,522,1234,84,0
2024-04-26,Bharti Airtel,Warren White,williamwilson,Color candidate PM already old tend particular message plan.,2963,532,894,0
2024-01-27,HDFC Bank,William Baker,kvalentine,Various together evening option brother fear boy east prove board opportunity see four.,333,661,359,0
2024-12-08,Tata Motors,Kathleen Taylor,peterking,Method protect bad certain note base sell.,2063,577,389,0
2025-08-07,Infosys,Jean Miller,thompsonjennifer,Help condition question appear might between purpose animal black federal sing collection rate action.,4589,1543,588,0
2024-05-08,ICICI Bank,Joan Johnson,richard28,Ready food source government entire reveal save ago husband yes difficult.,539,1990,301,0
2025-04-10,Infosys,Heather Peterson,robinsonreginald,Word reason capital air off floor must catch.,1668,878,836,0
2024-11-07,Tata Motors,Mr. Shane Perkins II,stephanie72,Forget pretty fear address top exist than positive after hotel west sign democratic moment animal.,3511,19,95,0
2024-06-11,HDFC Bank,Martha Adkins,mcmillanjames,Continue father half term financial themselves guess line necessary probably find animal measure last yes husband.,3628,1621,727,0
2025-04-15,Wipro,Christopher Hodge,christopherburton,Wind study seven scientist effort tough really.,1908,674,215,0
2024-03-11,ICICI Bank,Natalie Brown,alanchavez,Cold catch reason technology education top however.,3455,750,344,0
2023-10-10,Bharti Airtel,Jennifer Alexander,brittany20,Full today probably morning direction quickly wind become seem deep make tough fly rule we high.,953,751,908,0
2024-04-10,Adani Ports,Olivia Davidson,vthomas,Claim cover party happen voice discuss ask.,355,896,659,0
2024-09-10,Reliance,Kevin Savage,melissa26,Tax serve anything politics push speak sort technology make career maintain billion certain hard.,2247,1515,77,0
2024-11-30,Bharti Airtel,Anthony Guerra,mistysanchez,Receive system too clearly cost their world much.,24,1930,946,1
2024-10-02,Wipro,Rebekah Washington,patrick58,However like southern their meeting perhaps allow view include in.,3917,611,31,1
2025-06-17,Adani Ports,Shelley Patterson,phillipsrenee,Drop thus because key involve summer wind choice easy discussion despite floor science south.,3591,1896,391,0
2024-10-10,ICICI Bank,Jason Lewis,rickeycain,Matter boy only rise town share look article while project.,258,1273,864,0
2025-02-07,HDFC Bank,Claire Mccoy,christopher32,Part avoid enough when billion station page fall sister ground especially business likely skill her.,194,953,668,1
2025-01-17,Infosys,Tanya Beasley,donnagreene,Speech material worry large too discover able time gun visit.,303,1253,86,1
2024-09-11,ICICI Bank,Amy Sanders,markjohnson,Large over site have body truth strategy message indeed region.,3009,1582,150,0
2025-08-14,HDFC Bank,Timothy Gutierrez,mirandacontreras,Yeah enjoy I technology happy brother court purpose recently girl through fund.,781,1003,413,0
2024-08-25,ICICI Bank,Dustin Jacobs,cpierce,Medical born capital star tend letter senior single home somebody.,4227,972,805,0
2023-12-22,Reliance,Dalton Gomez,marqueztheresa,Follow daughter former carry party series take why hour woman benefit score affect east form.,1460,0,647,0
2025-02-03,Adani Ports,Mary Cole,sarahjones,Visit likely sign type maybe team campaign black pay.,1651,1738,9,0
2025-05-19,HDFC Bank,John Tucker,joshua17,Sport however total specific word tree machine culture effort raise institution particularly long increase.,1489,68,768,0
2025-02-16,Reliance,Robin Brown,russelloneal,Energy why assume way outside run operation lead follow identify trial person return daughter hair son.,3635,1560,677,0
2025-06-26,Tata Motors,Michael Johnson,ereynolds,Democratic resource suddenly black country best entire us community bed page.,3816,1615,638,0
2023-10-04,Bharti Airtel,Barbara Nunez,ldickerson,About sometimes news keep campaign maintain on tonight majority who play trade war owner.,841,319,436,0
2024-04-28,Wipro,Edward Blanchard,gwright,War wind bank thing here news account.,2860,1246,523,0
2023-10-01,Adani Ports,Rhonda Navarro,mckenziejames,Science easy eat agree few short simple mouth bar which health student just road in.,4855,289,120,0
2025-01-13,Tata Motors,Elizabeth Walters,lisa77,Pretty guess ability establish administration impact lose fund threat term rise sort admit.,4327,840,239,0
2023-11-24,Wipro,James Scott,marisayates,Movie machine these avoid against work step cause.,1930,350,220,0
2024-04-01,HDFC Bank,Gerald Reyes,iscott,Environment shoulder magazine build identify writer woman market you.,904,1946,321,1
2023-10-31,Reliance,Benjamin Ortiz,delgadoelaine,Reflect condition energy seven over capital none approach walk senior hand painting her right carry.,1859,1762,264,0
2024-11-27,Tata Motors,Devon Williams,daguilar,Behind member experience give box get address significant notice star interesting especially view subject.,815,1106,135,0
2023-11-19,Reliance,Devin Jones,yolanda13,Why hotel store when someone size later yourself.,3330,116,491,0
2025-05-18,Infosys,Robert Gill,leslienguyen,Man music will stuff spring quality conference rule strong bring page language environment.,3907,464,56,0
2025-07-18,Tata Motors,William Garcia,robertperry,Fund figure speech card institution better build scientist man tough management player skin.,4843,1080,637,0
2023-12-25,Infosys,Alexis Maynard,joyce97,Stock as use partner nearly upon laugh draw watch.,441,1170,588,0
2025-08-26,Wipro,Jacob Smith DDS,julia57,Run question nation social space mention quickly purpose region difficult far door age yes responsibility above.,471,1118,433,0
2024-05-24,Bharti Airtel,Robin Allison,astewart,Personal analysis food or go cause attack.,1274,990,55,1
2024-03-26,Infosys,Derek Montes,martinrobert,Yard in president fly with second listen.,4268,1452,198,0
2024-11-29,Tata Motors,Paul Morris,bmoon,Candidate trip music friend way investment wife prepare unit.,3179,161,316,0
2024-02-05,ICICI Bank,Ashley Palmer,kristenmartinez,Company expect various region analysis begin remember bill follow focus.,3688,541,919,0
2024-07-21,HDFC Bank,Marcus Moreno,gabrielduran,Onto color quickly top experience claim generation say coach.,2188,1973,434,0
2025-07-08,Adani Ports,Austin Golden,mariajohnson,Remain involve business to score sort dinner risk feel huge for few.,1681,203,855,0
2023-12-01,Bharti Airtel,Ricardo Brown,uharper,Whose agreement public conference require who never employee or stuff right tree.,2758,509,898,0
2025-07-03,Adani Ports,Katherine Evans,terri42,Degree society wall season probably difference knowledge recent beautiful employee.,2972,1936,128,0
2025-01-22,Adani Ports,Jason Hanson,francis04,Common science worry police dream college history no development lot apply suddenly area.,2222,1034,49,0
2024-09-25,Reliance,Marcus Jones,brendagarrett,Build role buy determine available reason safe scene both green could along serve senior reveal.,1772,1615,70,1
2024-04-09,Infosys,Christopher Miller,vwells,Century though technology movement clear sort few need around finish.,378,1087,801,0
2023-11-02,Wipro,Alyssa Brown,jacksondanielle,Car buy PM could sell get special interest sell sometimes star set.,3023,597,627,1
2024-03-06,ICICI Bank,Samantha Thompson,edwardadams,Either board nothing focus law take worker city finally between improve talk spend base.,4790,883,975,0
2025-01-05,ICICI Bank,Kevin Moody,sarah54,Word treat anything history best discuss ten.,1346,840,911,0
2024-10-19,ICICI Bank,Gloria Meyer,dporter,Be our imagine party character necessary once instead.,1355,1981,219,0
2024-11-30,Tata Motors,Tyler Stark,fordadrian,Check air whom color certainly teach foreign eye ball back always down memory beat.,80,344,14,1
2025-06-24,Infosys,Hayley Lambert,jamesjohnson,Account accept production production series woman human employee.,1957,1201,998,0
2024-09-30,ICICI Bank,Michael Kirk,ellisjessica,Agent control less tell visit ball hold.,993,716,868,1
2025-02-01,Adani Ports,Dana Conner,trevinoandrew,Respond trade response strategy move though four wall unit analysis in truth.,888,1665,358,0
2024-10-28,ICICI Bank,Krystal Hernandez,james44,Whole this natural service top same make my nor accept.,2680,1959,708,0
2025-04-08,Infosys,Cameron Hart,andremccall,Skin over establish back report speech too next tonight daughter huge lawyer.,1463,1388,576,0
2024-08-30,Adani Ports,Joshua Wong,michael09,Every agreement hold alone happy rather whole.,342,1872,227,0
2024-04-23,Reliance,Rachael Bowen,lenglish,Center range model plan professor term certainly strategy bag rest meeting focus key performance simple.,4301,1711,324,0
2025-06-03,Infosys,Matthew Dawson,nortonshawn,Some test stock cut artist rich together to evidence view choose.,2234,1790,685,0
2025-07-21,Infosys,Lisa Woodard,shahjasmine,Late during remember seek how itself trial particularly there home woman wall themselves go left.,3822,716,942,0
2025-03-27,HDFC Bank,Connie Johnson,qkelly,Consumer against decision discussion Mr laugh federal too everyone actually hot anything look political audience.,3611,889,429,1
2024-01-15,Wipro,Michelle Gonzalez,jeffreyconway,Paper pass interesting history deep movement culture.,83,90,186,0
2025-01-24,HDFC Bank,Mark Johnson,angelawilson,Tax little establish treatment view with cup never some PM.,2589,1422,835,0
2024-05-06,Tata Motors,Sarah Curtis,jeffreywilson,Sit eight probably free full reality road simply one.,3897,1139,938,0
2024-12-02,ICICI Bank,Shawn Williams,jessicamurphy,Assume buy song about director decide local what.,1897,1734,367,0
2024-08-14,Infosys,Desiree Hernandez,marie33,Themselves yeah sort produce author school high central factor need number hot.,77,458,75,0
2024-10-01,Adani Ports,Paula Hall,pwhite,Find test left crime interesting instead interest anyone book culture small cost century foot.,4795,1362,217,0
2025-09-08,Adani Ports,Amanda Franklin,gallagherjanice,But plant fund speech hundred cover box growth bar dog debate TV.,1417,1124,933,1
2024-02-21,Reliance,David Kelley,milleramanda,Line thing season north any hot apply buy of knowledge.,4716,1565,924,0
2024-12-10,Wipro,Brittany Young,brittanygallagher,Threat think mean opportunity seat whether official air way bar behind.,2254,1382,952,0
2024-01-27,Wipro,Beth Walker,brettsmith,Than center great arm program support station trial future prevent.,4998,591,591,0
2024-05-19,Infosys,Eric Hunter,jamie80,Coach memory move throw any bring black whatever as this indicate number leader read.,2859,1469,868,1
2024-02-28,Reliance,Larry Reynolds,ericjohnson,Explain worker ground quickly center measure poor certainly standard.,2060,221,744,0
2025-02-28,HDFC Bank,Mr. Jordan Brown,hensleyanthony,Always entire free wish before huge could letter outside day spend most deep yeah.,2185,791,835,0
2024-03-27,Adani Ports,Elizabeth Mitchell,wilsonlisa,Response skill the identify impact perhaps dog opportunity good why may reduce else.,480,404,164,0
2024-06-04,Adani Ports,Bryan Marshall,carrmichelle,Local sort seem through adult system argue Mr daughter accept physical night.,2523,573,612,0
2024-03-08,ICICI Bank,Michael Snyder,rduran,Owner road both choose amount job town star for southern check fact evening opportunity west history.,3114,1806,362,0
2025-04-13,HDFC Bank,John Barry,ltaylor,Here offer method glass sing plant believe gas.,1961,954,742,0
2025-07-22,Infosys,Anthony Austin,amanda86,Role how occur professor early single talk score address.,3323,1415,895,0
2023-09-20,Tata Motors,Jose Thompson,nicole10,Good series create before kitchen picture discover check nation cultural instead.,2941,1867,931,0
2024-02-05,Wipro,Charles Rivas,dana77,Lay as recognize drive son trip probably.,4076,1343,314,1
2024-10-20,Bharti Airtel,Heather Collins,morrisheidi,Rest girl much front area movement before simply poor.,2616,1070,317,0
2024-01-18,Bharti Airtel,Erin Hunt,gpittman,Offer approach third center return sea property reality me throw person manage property former why.,2391,1522,416,0
2023-10-14,HDFC Bank,Joshua Perry,watsonandre,Only marriage go industry off state break.,4839,1451,166,0
2023-09-15,Reliance,Amanda Woods,baileyjeff,Seek above history program station because political room.,4994,125,510,0
2023-10-31,HDFC Bank,William Roy,robertortega,Cultural charge peace sport make buy fund staff source street mother industry happen cell understand can.,1994,1824,602,1
2024-10-31,Reliance,Joseph Barnes,dennisjake,Course compare western effect world behind prove positive produce yeah light buy.,1885,1209,129,0
2024-01-08,Bharti Airtel,Dennis Cannon,yfletcher,Often behind including system defense action Mr suggest however decide group fear.,4978,1556,92,0
2024-12-27,Infosys,Robin Howard,victor30,Strategy manager free player lose position next and high decide week.,2005,986,424,1
2024-09-10,Tata Motors,Joseph Powers,aevans,Throw entire free professional so event him political common can push old series call seek.,765,182,856,0
2024-03-04,Infosys,Travis Dickson,stevenschneider,Imagine usually help senior firm very election.,2359,387,982,1
2023-10-18,Reliance,Daisy Peters,gcarter,Factor job candidate energy conference system could.,2723,850,323,0
2024-06-22,Wipro,Katie Williamson,loricantrell,Study feeling structure police protect front billion old test throw employee game mouth international choice.,1632,602,533,0
2024-11-09,HDFC Bank,Lori Doyle,alyssabarry,Hear board house learn mother standard raise region dog audience dinner.,2641,601,905,1
2024-03-11,Bharti Airtel,Bobby Tate,mccarthyjaclyn,You officer hit management happen local each test serious partner network week personal.,830,325,847,0
2024-11-13,Reliance,Mark Short,pwoods,Husband article soon born process drive effort daughter fund fast let evening may structure which safe.,2983,568,959,0
2024-11-18,Wipro,Nancy Wright,christianpatel,Deal six week matter likely son professor parent see possible wait perform none the civil.,4214,1041,468,0
2024-10-23,Tata Motors,Jeanette Bowman,victor61,Whether hour fill property interesting house buy north full usually.,4337,1043,225,0
2025-04-13,Adani Ports,Amanda Lopez,joshua07,Cost tax from process in seek seven.,93,1442,605,0
2025-02-23,ICICI Bank,Marcus King,jessicaharmon,He century loss member bank decade end public myself they similar music best morning.,4301,1850,317,0
2024-11-06,ICICI Bank,Adam Davis,carterpamela,Maybe course night poor two available relate race factor.,1630,390,694,0
2024-10-17,Adani Ports,Mary Kelly,brownmelissa,Up administration positive stand try different teach argue person person machine price fight.,8,657,803,0
2023-09-17,Bharti Airtel,April Taylor,rgibson,President professor important since site several southern.,4630,786,399,0
2024-01-26,Wipro,Russell Moore,peter44,Young candidate another ten several behind to must between senior rate remain final left hundred more.,1432,1733,925,0
2024-03-28,Reliance,Mary White,barbarascott,Happy indeed talk sign ready receive instead front fast serious want among green official for food.,2395,708,954,0
2025-08-02,ICICI Bank,James Gregory,daniel55,Return politics season rich central return herself front experience general nearly father still wall list two.,4969,811,151,0
2023-10-02,Tata Motors,Beth Hayes,harrisbrittany,Open physical floor reduce when everyone decide lawyer yeah remain evidence piece fly teacher condition no.,4905,570,849,0
2024-11-29,Wipro,Jacob Gibson,hammonddanielle,Minute nature top hope data dark itself lose team car production key.,3113,233,995,0
2025-02-21,HDFC Bank,Patrick Rios,sandra23,Black bill have carry small speech never theory hot every make thing money necessary.,3670,1332,111,0
2024-07-17,Wipro,Deanna Brock,lmcdowell,Factor himself us impact specific particular person down design various movie year where.,274,1754,277,1
2024-11-12,ICICI Bank,Sarah Smith,samuel72,Easy including between whether tree body high else among whatever product candidate how thus give.,3340,288,7,1
2024-07-02,Tata Motors,Steven Chang,renee08,Them including until wide admit operation lawyer television smile there even perform federal seven will.,1346,950,168,0
2024-08-03,Bharti Airtel,Michelle Mason,williamsaaron,Yeah amount likely song without daughter hair wide stock space hard.,3042,1922,561,0
2023-12-27,HDFC Bank,John Best,meredithsanchez,Almost behind chance discuss physical middle push TV cause reduce.,563,1047,393,0
2024-02-08,ICICI Bank,Jennifer Campbell,ryangriffin,Or talk detail right join specific sell expert common push Democrat person.,4487,1705,38,0
2025-05-05,ICICI Bank,Kelly Hardy,briansmith,Hand heavy south involve memory outside record finish to site learn.,4384,409,819,1
2024-05-06,ICICI Bank,Leah Welch,karen28,Dream concern five threat hit section factor source they seem.,3039,1087,219,0
2023-11-02,HDFC Bank,Bradley Dominguez,abigailjohnson,Fish goal get decision TV effort science know music she him realize laugh result dark.,853,1593,265,0
2024-01-19,Bharti Airtel,Benjamin Nguyen,christopher93,Become detail travel sort single cause experience hotel leader understand maintain.,3793,130,833,0
2025-03-04,ICICI Bank,Patricia Miller,bradleyweber,Bit into likely something central tend figure realize over stage feel fast she side.,4910,842,134,0
2025-05-18,Reliance,Jacob Bowman,amandaswanson,Mention city fall process a effort represent room audience situation.,1459,1688,697,0
2025-05-20,Adani Ports,David Rodriguez,soniasmith,Body bit daughter kind among life already order forward maintain.,3004,340,693,0
2025-08-16,Wipro,Charles Scott,xcarter,Bag sense than soldier top away rise.,152,845,817,0
2025-08-09,Tata Motors,Sarah Blackburn,imcneil,Prepare body fish itself yard green father operation body reason reflect fact room Republican animal.,919,1359,319,0
2024-08-05,Tata Motors,Natasha Hart,gilbertjoseph,Conference high improve ready police member read threat new prepare or despite.,3439,1090,564,0
2025-04-22,Infosys,Kathy Weber,npatterson,Somebody could recently couple support talk us board recently.,335,1266,803,0
2024-10-29,Reliance,Alicia Butler,murphypamela,Among strong prevent decision inside more join.,3112,1422,652,0
2024-11-26,Infosys,Marc Perry,adam70,Political certainly other like gas day society.,2017,1586,435,0
2025-07-30,Bharti Airtel,Evan Smith,shelia51,Out Mrs interview eight nothing community task occur campaign throughout develop a ahead several yes conference.,3206,904,280,0
2024-01-10,ICICI Bank,Dennis Oneill,adrianmccoy,Save image thought husband two college summer billion.,3271,1360,40,0
2025-05-09,ICICI Bank,Sherri Jarvis,ccaldwell,Enter our such student amount summer teacher already agree health attention color.,1763,1000,21,0
2025-02-27,Adani Ports,Jason Williams,shortandrew,Million research everyone with final all child.,379,188,320,0
2024-07-08,HDFC Bank,Mark Lawson,melissa90,Simply let while rule pay professional provide total during act break address set agency continue ready.,743,868,948,0
2025-07-11,Infosys,James Meyer,alice62,Any man task road whose one prevent simple movement Republican evening food.,3048,1755,734,0
2025-02-23,Wipro,Pamela Clarke,williamsmichael,Open produce know both do happen will.,4468,1214,564,0
2024-01-18,HDFC Bank,Erik Mcdowell,nathanielbeasley,Character night force mention easy environmental summer military structure leader trouble against probably guy politics billion.,2630,132,105,0
2024-03-12,ICICI Bank,Casey Roberts,alejandrozhang,Her moment authority save try situation surface.,1606,1039,579,0
2025-05-11,Bharti Airtel,Timothy Brown,michael90,American moment they page city yourself today school draw.,4004,1090,436,0
2024-03-16,Wipro,Deanna Wagner,sgreen,Now wear child respond language there service different significant.,1616,1330,963,0
2024-05-17,Bharti Airtel,Johnny Kelley,petersnicole,Certainly weight no current range until administration American beyond price different difficult movement cultural to.,1192,1567,753,0
2025-08-13,Bharti Airtel,Brad Oconnell,jpeterson,Whatever management pressure can feeling fly simple environmental raise market present create as than local late.,2347,137,446,0
2024-10-23,HDFC Bank,Brittney Blair,anichols,Usually especially imagine green dog gas allow none same dream real.,801,491,198,0
2025-02-10,Wipro,Richard Johnson,wgonzalez,Environment remain up economy surface paper company floor thank fear time nor population middle.,2138,1368,615,0
2024-03-10,Infosys,Christine Chen,fmcintosh,Side provide service military box different both long happy ground remain one.,924,1993,619,0
2024-05-08,Infosys,Robert Olson,clarkpaul,Marriage meeting big however picture cut option maybe especially itself history describe nice wish.,203,1936,805,0
2024-06-24,Reliance,Wayne Walker,trujillomichael,Right side consider race card argue after affect other window offer.,1004,728,871,0
2023-10-02,ICICI Bank,Noah Coleman,patricia20,Born environmental political skill sport deal catch.,950,1946,818,0
2024-08-03,Bharti Airtel,Melissa Clark,colemanstephen,Keep six by camera national court gun professional American.,1448,1850,17,0
2024-10-16,ICICI Bank,Jessica Salinas,ryanjennifer,State education owner truth water responsibility become parent its follow.,4401,1646,501,0
2023-10-25,Adani Ports,Jennifer Frye,gmora,Final them back quickly back office figure create our condition old hit.,4657,1157,782,0
2024-07-22,Infosys,Valerie Chandler,lopezjeremy,Actually help ball book determine fund kind sound speech floor.,2906,1303,146,0
2024-07-04,HDFC Bank,Kevin Johnson,humphreydavid,Thus always its blue thought too likely government line almost notice challenge.,946,857,257,1
2023-09-22,Adani Ports,Scott Smith,opadilla,Door nation human college one sister thing.,2860,380,194,0
2023-11-20,Adani Ports,Daniel Moore,ilarson,Environmental international by not it we go guess model feel suddenly material manage pattern realize.,4754,1647,24,0
2024-08-21,HDFC Bank,Brittney Houston,michael36,Sea here agent far Mrs history nation financial executive.,4730,476,500,0
2024-10-06,HDFC Bank,Kathleen Espinoza,andrewmcdonald,Move power give western ability vote serious story argue answer your.,2684,1814,69,1
2024-06-27,Adani Ports,Billy Cannon,huffmanthomas,Bring project friend off perform somebody history main deep different option.,3984,1059,952,0
2024-12-22,Infosys,James Carter,rachelsims,Class every answer likely home between chance identify land.,1510,1503,495,0
2024-02-13,Adani Ports,Laura Martin,pamelacastillo,She do we my space minute design prove.,582,1399,993,0
2025-05-10,HDFC Bank,Phillip Wheeler,stacey41,Movement fear ready edge decision including peace next choose let standard several ago get station.,3095,1555,32,0
2024-03-10,Infosys,Sarah Mueller,marycontreras,Machine agreement perform recognize attention always measure author effort break reason magazine fish rule.,777,1540,18,1
2024-10-28,ICICI Bank,Wanda Fernandez,courtney72,Father think than easy feeling reality role cover.,2672,1907,134,0
2023-11-19,Bharti Airtel,Jessica Rangel,ramirezlinda,Likely show city generation light sometimes single second several value memory during grow let.,1189,1525,552,0
2024-06-30,ICICI Bank,Eric Wise,autumn33,Some course next head factor watch dark dream man threat.,3550,1592,617,0
2025-04-13,Bharti Airtel,Jason Shepherd,laura75,Change little down teacher turn hope store authority low analysis next scientist fear.,873,576,811,0
2023-10-05,Infosys,Gerald Villarreal,acastro,Our child decision enjoy thousand professional whether including.,1432,1356,234,0
2024-09-01,Tata Motors,Jeremy Johnson,tharrison,Company common usually blood bag enough across enjoy step candidate drive probably laugh agreement.,4940,10,505,0
2023-10-29,Wipro,David Stewart,clarkdawn,Various discussion standard peace project bit your view their authority.,3783,1072,154,1
2025-07-10,HDFC Bank,Samantha Kennedy,brianwarren,Maybe itself staff notice after successful husband war protect dark man box fund.,1260,1701,60,0
2025-02-17,Wipro,Vanessa White,robertomitchell,Financial respond available moment exactly manager seek practice place ground second give reach.,1634,1211,848,0
2024-02-04,Infosys,Kimberly Powell,pittsdavid,Strategy market measure behind anyone determine floor yes north learn rather.,4001,1280,33,0
